Notes,Age,Age Code,Gender,Gender Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,29 years,29,Female,F,2018,2018,2270069
Total,29 years,29,Female,F,,,40773058
,29 years,29,Male,M,1999,1999,2098705
,29 years,29,Male,M,2000,2000,2110379
,29 years,29,Male,M,2001,2001,1994289
,29 years,29,Male,M,2002,2002,1897302
,29 years,29,Male,M,2003,2003,1849806
,29 years,29,Male,M,2004,2004,1909795
,29 years,29,Male,M,2005,2005,1857200
,29 years,29,Male,M,2006,2006,1908100
,29 years,29,Male,M,2007,2007,1938385
,29 years,29,Male,M,2008,2008,1995710
,29 years,29,Male,M,2009,2009,2093773
,29 years,29,Male,M,2010,2010,2112134
,29 years,29,Male,M,2011,2011,2140652
,29 years,29,Male,M,2012,2012,2151210
,29 years,29,Male,M,2013,2013,2128510
,29 years,29,Male,M,2014,2014,2215778
,29 years,29,Male,M,2015,2015,2217929
,29 years,29,Male,M,2016,2016,2223644
,29 years,29,Male,M,2017,2017,2273373
,29 years,29,Male,M,2018,2018,2341001
Total,29 years,29,Male,M,,,41457675
Total,29 years,29,,,,,82230733
,30 years,30,Female,F,1999,1999,2064871
,30 years,30,Female,F,2000,2000,2122669
,30 years,30,Female,F,2001,2001,2096477
,30 years,30,Female,F,2002,2002,1981699
,30 years,30,Female,F,2003,2003,1894832
,30 years,30,Female,F,2004,2004,1853220
,30 years,30,Female,F,2005,2005,1914556
,30 years,30,Female,F,2006,2006,1870844
,30 years,30,Female,F,2007,2007,1929353
,30 years,30,Female,F,2008,2008,1964887
,30 years,30,Female,F,2009,2009,2033069
,30 years,30,Female,F,2010,2010,2136673
,30 years,30,Female,F,2011,2011,2108030
,30 years,30,Female,F,2012,2012,2134127
,30 years,30,Female,F,2013,2013,2137275
,30 years,30,Female,F,2014,2014,2109740
,30 years,30,Female,F,2015,2015,2181155
,30 years,30,Female,F,2016,2016,2169738
,30 years,30,Female,F,2017,2017,2170287
,30 years,30,Female,F,2018,2018,2218983
Total,30 years,30,Female,F,,,41092485
,30 years,30,Male,M,1999,1999,2116341
,30 years,30,Male,M,2000,2000,2175073
,30 years,30,Male,M,2001,2001,2121783
,30 years,30,Male,M,2002,2002,2012465
,30 years,30,Male,M,2003,2003,1918704
,30 years,30,Male,M,2004,2004,1884720
,30 years,30,Male,M,2005,2005,1952025
,30 years,30,Male,M,2006,2006,1908207
,30 years,30,Male,M,2007,2007,1965174
,30 years,30,Male,M,2008,2008,2005304
,30 years,30,Male,M,2009,2009,2071064
,30 years,30,Male,M,2010,2010,2167253
,30 years,30,Male,M,2011,2011,2117270
,30 years,30,Male,M,2012,2012,2149143
,30 years,30,Male,M,2013,2013,2159534
,30 years,30,Male,M,2014,2014,2138487
,30 years,30,Male,M,2015,2015,2228011
,30 years,30,Male,M,2016,2016,2229540
,30 years,30,Male,M,2017,2017,2232572
,30 years,30,Male,M,2018,2018,2282299
Total,30 years,30,Male,M,,,41834969
Total,30 years,30,,,,,82927454
,31 years,31,Female,F,1999,1999,1957054
,31 years,31,Female,F,2000,2000,2014471
,31 years,31,Female,F,2001,2001,2128146
,31 years,31,Female,F,2002,2002,2098098
,31 years,31,Female,F,2003,2003,1979254
,31 years,31,Female,F,2004,2004,1889889
,31 years,31,Female,F,2005,2005,1845744
,31 years,31,Female,F,2006,2006,1903298
,31 years,31,Female,F,2007,2007,1855504
,31 years,31,Female,F,2008,2008,1909543
,31 years,31,Female,F,2009,2009,1940091
,31 years,31,Female,F,2010,2010,2015983
,31 years,31,Female,F,2011,2011,2145611
,31 years,31,Female,F,2012,2012,2117038
,31 years,31,Female,F,2013,2013,2143157
,31 years,31,Female,F,2014,2014,2147676
,31 years,31,Female,F,2015,2015,2121628
,31 years,31,Female,F,2016,2016,2192663
,31 years,31,Female,F,2017,2017,2179551
,31 years,31,Female,F,2018,2018,2180487
Total,31 years,31,Female,F,,,40764886
,31 years,31,Male,M,1999,1999,1979133
,31 years,31,Male,M,2000,2000,2048286
,31 years,31,Male,M,2001,2001,2174543
,31 years,31,Male,M,2002,2002,2112815
,31 years,31,Male,M,2003,2003,1994472
,31 years,31,Male,M,2004,2004,1901095
,31 years,31,Male,M,2005,2005,1859850
,31 years,31,Male,M,2006,2006,1920967
,31 years,31,Male,M,2007,2007,1869108
,31 years,31,Male,M,2008,2008,1918551
,31 years,31,Male,M,2009,2009,1950109
,31 years,31,Male,M,2010,2010,2026266
,31 years,31,Male,M,2011,2011,2171683
,31 years,31,Male,M,2012,2012,2124527
,31 years,31,Male,M,2013,2013,2156290
,31 years,31,Male,M,2014,2014,2168145
,31 years,31,Male,M,2015,2015,2150105
,31 years,31,Male,M,2016,2016,2238557
,31 years,31,Male,M,2017,2017,2237945
,31 years,31,Male,M,2018,2018,2241062
Total,31 years,31,Male,M,,,41243509
Total,31 years,31,,,,,82008395
,32 years,32,Female,F,1999,1999,2014551
,32 years,32,Female,F,2000,2000,1987857
,32 years,32,Female,F,2001,2001,2026967
,32 years,32,Female,F,2002,2002,2146046
,32 years,32,Female,F,2003,2003,2120394
,32 years,32,Female,F,2004,2004,2006472
,32 years,32,Female,F,2005,2005,1921927
,32 years,32,Female,F,2006,2006,1882413
,32 years,32,Female,F,2007,2007,1944828
,32 years,32,Female,F,2008,2008,1900958
,32 years,32,Female,F,2009,2009,1960227
,32 years,32,Female,F,2010,2010,1981281
,32 years,32,Female,F,2011,2011,2023735
,32 years,32,Female,F,2012,2012,2153431
,32 years,32,Female,F,2013,2013,2124859
,32 years,32,Female,F,2014,2014,2151876
,32 years,32,Female,F,2015,2015,2157939
,32 years,32,Female,F,2016,2016,2131565
,32 years,32,Female,F,2017,2017,2200928
,32 years,32,Female,F,2018,2018,2188295
Total,32 years,32,Female,F,,,41026549
,32 years,32,Male,M,1999,1999,2029406
,32 years,32,Male,M,2000,2000,2011411
,32 years,32,Male,M,2001,2001,2055935
,32 years,32,Male,M,2002,2002,2184931
,32 years,32,Male,M,2003,2003,2124673
,32 years,32,Male,M,2004,2004,2017316
,32 years,32,Male,M,2005,2005,1926111
,32 years,32,Male,M,2006,2006,1890125
,32 years,32,Male,M,2007,2007,1954635
,32 years,32,Male,M,2008,2008,1906803
,32 years,32,Male,M,2009,2009,1961054
,32 years,32,Male,M,2010,2010,1985973
,32 years,32,Male,M,2011,2011,2029857
,32 years,32,Male,M,2012,2012,2178064
,32 years,32,Male,M,2013,2013,2130833
,32 years,32,Male,M,2014,2014,2163823
,32 years,32,Male,M,2015,2015,2178643
,32 years,32,Male,M,2016,2016,2159517
,32 years,32,Male,M,2017,2017,2245784
,32 years,32,Male,M,2018,2018,2245454
Total,32 years,32,Male,M,,,41380348
Total,32 years,32,,,,,82406897
,33 years,33,Female,F,1999,1999,2036474
,33 years,33,Female,F,2000,2000,2004450
,33 years,33,Female,F,2001,2001,1998254
,33 years,33,Female,F,2002,2002,2036914
,33 years,33,Female,F,2003,2003,2154626
,33 years,33,Female,F,2004,2004,2129110
,33 years,33,Female,F,2005,2005,2015588
,33 years,33,Female,F,2006,2006,1931252
,33 years,33,Female,F,2007,2007,1890567
,33 years,33,Female,F,2008,2008,1952623
,33 years,33,Female,F,2009,2009,1907798
,33 years,33,Female,F,2010,2010,1969759
,33 years,33,Female,F,2011,2011,1988184
,33 years,33,Female,F,2012,2012,2030723
,33 years,33,Female,F,2013,2013,2160381
,33 years,33,Female,F,2014,2014,2132757
,33 years,33,Female,F,2015,2015,2161240
,33 years,33,Female,F,2016,2016,2167260
,33 years,33,Female,F,2017,2017,2139487
,33 years,33,Female,F,2018,2018,2209229
Total,33 years,33,Female,F,,,41016676
,33 years,33,Male,M,1999,1999,2043243
,33 years,33,Male,M,2000,2000,2014667
,33 years,33,Male,M,2001,2001,2016658
,33 years,33,Male,M,2002,2002,2058617
,33 years,33,Male,M,2003,2003,2182673
,33 years,33,Male,M,2004,2004,2128284
,33 years,33,Male,M,2005,2005,2019457
,33 years,33,Male,M,2006,2006,1928913
,33 years,33,Male,M,2007,2007,1890360
,33 years,33,Male,M,2008,2008,1954630
,33 years,33,Male,M,2009,2009,1905203
,33 years,33,Male,M,2010,2010,1963430
,33 years,33,Male,M,2011,2011,1989386
,33 years,33,Male,M,2012,2012,2035011
,33 years,33,Male,M,2013,2013,2183095
,33 years,33,Male,M,2014,2014,2137089
,33 years,33,Male,M,2015,2015,2172840
,33 years,33,Male,M,2016,2016,2186666
,33 years,33,Male,M,2017,2017,2165649
,33 years,33,Male,M,2018,2018,2252017
Total,33 years,33,Male,M,,,41227888
Total,33 years,33,,,,,82244564
,34 years,34,Female,F,1999,1999,2176173
,34 years,34,Female,F,2000,2000,2065746
,34 years,34,Female,F,2001,2001,2014086
,34 years,34,Female,F,2002,2002,2007436
,34 years,34,Female,F,2003,2003,2044712
,34 years,34,Female,F,2004,2004,2162454
,34 years,34,Female,F,2005,2005,2137339
,34 years,34,Female,F,2006,2006,2024111
,34 years,34,Female,F,2007,2007,1939082
,34 years,34,Female,F,2008,2008,1897868
,34 years,34,Female,F,2009,2009,1959374
,34 years,34,Female,F,2010,2010,1913300
,34 years,34,Female,F,2011,2011,1976077
,34 years,34,Female,F,2012,2012,1994506
,34 years,34,Female,F,2013,2013,2036817
,34 years,34,Female,F,2014,2014,2167491
,34 years,34,Female,F,2015,2015,2141493
,34 years,34,Female,F,2016,2016,2169706
,34 years,34,Female,F,2017,2017,2174438
,34 years,34,Female,F,2018,2018,2147153
Total,34 years,34,Female,F,,,41149362
,34 years,34,Male,M,1999,1999,2186103
,34 years,34,Male,M,2000,2000,2079604
,34 years,34,Male,M,2001,2001,2019326
,34 years,34,Male,M,2002,2002,2019285
,34 years,34,Male,M,2003,2003,2057870
,34 years,34,Male,M,2004,2004,2186941
,34 years,34,Male,M,2005,2005,2131340
,34 years,34,Male,M,2006,2006,2025038
,34 years,34,Male,M,2007,2007,1932154
,34 years,34,Male,M,2008,2008,1893638
,34 years,34,Male,M,2009,2009,1957125
,34 years,34,Male,M,2010,2010,1908550
,34 years,34,Male,M,2011,2011,1966037
,34 years,34,Male,M,2012,2012,1994116
,34 years,34,Male,M,2013,2013,2039053
,34 years,34,Male,M,2014,2014,2188226
,34 years,34,Male,M,2015,2015,2144864
,34 years,34,Male,M,2016,2016,2179705
,34 years,34,Male,M,2017,2017,2191802
,34 years,34,Male,M,2018,2018,2171039
Total,34 years,34,Male,M,,,41271816
Total,34 years,34,,,,,82421178
,35 years,35,Female,F,1999,1999,2293916
,35 years,35,Female,F,2000,2000,2216600
,35 years,35,Female,F,2001,2001,2075753
,35 years,35,Female,F,2002,2002,2024887
,35 years,35,Female,F,2003,2003,2018457
,35 years,35,Female,F,2004,2004,2057123
,35 years,35,Female,F,2005,2005,2176855
,35 years,35,Female,F,2006,2006,2153617
,35 years,35,Female,F,2007,2007,2040888
,35 years,35,Female,F,2008,2008,1956588
,35 years,35,Female,F,2009,2009,1915747
,35 years,35,Female,F,2010,2010,1973520
,35 years,35,Female,F,2011,2011,1919044
,35 years,35,Female,F,2012,2012,1981666
,35 years,35,Female,F,2013,2013,2000026
,35 years,35,Female,F,2014,2014,2042751
,35 years,35,Female,F,2015,2015,2175025
,35 years,35,Female,F,2016,2016,2148684
,35 years,35,Female,F,2017,2017,2175644
,35 years,35,Female,F,2018,2018,2180901
Total,35 years,35,Female,F,,,41527692
,35 years,35,Male,M,1999,1999,2311702
,35 years,35,Male,M,2000,2000,2229957
,35 years,35,Male,M,2001,2001,2085387
,35 years,35,Male,M,2002,2002,2025303
,35 years,35,Male,M,2003,2003,2024193
,35 years,35,Male,M,2004,2004,2069933
,35 years,35,Male,M,2005,2005,2200202
,35 years,35,Male,M,2006,2006,2148987
,35 years,35,Male,M,2007,2007,2042845
,35 years,35,Male,M,2008,2008,1951453
,35 years,35,Male,M,2009,2009,1913685
,35 years,35,Male,M,2010,2010,1974444
,35 years,35,Male,M,2011,2011,1910820
,35 years,35,Male,M,2012,2012,1970201
,35 years,35,Male,M,2013,2013,1997672
,35 years,35,Male,M,2014,2014,2043201
,35 years,35,Male,M,2015,2015,2194562
,35 years,35,Male,M,2016,2016,2150464
,35 years,35,Male,M,2017,2017,2183195
,35 years,35,Male,M,2018,2018,2195500
Total,35 years,35,Male,M,,,41623706
Total,35 years,35,,,,,83151398
,36 years,36,Female,F,1999,1999,2281275
,36 years,36,Female,F,2000,2000,2268388
,36 years,36,Female,F,2001,2001,2225186
,36 years,36,Female,F,2002,2002,2083908
,36 years,36,Female,F,2003,2003,2031827
,36 years,36,Female,F,2004,2004,2025428
,36 years,36,Female,F,2005,2005,2064403
,36 years,36,Female,F,2006,2006,2184485
,36 years,36,Female,F,2007,2007,2160312
,36 years,36,Female,F,2008,2008,2047585
,36 years,36,Female,F,2009,2009,1962556
,36 years,36,Female,F,2010,2010,1922653
,36 years,36,Female,F,2011,2011,1978342
,36 years,36,Female,F,2012,2012,1924055
,36 years,36,Female,F,2013,2013,1986628
,36 years,36,Female,F,2014,2014,2005442
,36 years,36,Female,F,2015,2015,2049160
,36 years,36,Female,F,2016,2016,2181283
,36 years,36,Female,F,2017,2017,2153687
,36 years,36,Female,F,2018,2018,2181088
Total,36 years,36,Female,F,,,41717691
,36 years,36,Male,M,1999,1999,2262286
,36 years,36,Male,M,2000,2000,2260596
,36 years,36,Male,M,2001,2001,2232492
,36 years,36,Male,M,2002,2002,2084490
,36 years,36,Male,M,2003,2003,2020135
,36 years,36,Male,M,2004,2004,2023152
,36 years,36,Male,M,2005,2005,2066098
,36 years,36,Male,M,2006,2006,2196017
,36 years,36,Male,M,2007,2007,2142266
,36 years,36,Male,M,2008,2008,2036234
,36 years,36,Male,M,2009,2009,1943059
,36 years,36,Male,M,2010,2010,1907175
,36 years,36,Male,M,2011,2011,1975802
,36 years,36,Male,M,2012,2012,1913869
,36 years,36,Male,M,2013,2013,1972420
,36 years,36,Male,M,2014,2014,2000888
,36 years,36,Male,M,2015,2015,2048178
,36 years,36,Male,M,2016,2016,2198549
,36 years,36,Male,M,2017,2017,2152568
,36 years,36,Male,M,2018,2018,2185835
Total,36 years,36,Male,M,,,41622109
Total,36 years,36,,,,,83339800
,37 years,37,Female,F,1999,1999,2298941
,37 years,37,Female,F,2000,2000,2271871
,37 years,37,Female,F,2001,2001,2274547
,37 years,37,Female,F,2002,2002,2230362
,37 years,37,Female,F,2003,2003,2087581
,37 years,37,Female,F,2004,2004,2034825
,37 years,37,Female,F,2005,2005,2028122
,37 years,37,Female,F,2006,2006,2066577
,37 years,37,Female,F,2007,2007,2184832
,37 years,37,Female,F,2008,2008,2159900
,37 years,37,Female,F,2009,2009,2046428
,37 years,37,Female,F,2010,2010,1962054
,37 years,37,Female,F,2011,2011,1926786
,37 years,37,Female,F,2012,2012,1982719
,37 years,37,Female,F,2013,2013,1928514
,37 years,37,Female,F,2014,2014,1991564
,37 years,37,Female,F,2015,2015,2011281
,37 years,37,Female,F,2016,2016,2054718
,37 years,37,Female,F,2017,2017,2185729
,37 years,37,Female,F,2018,2018,2158541
Total,37 years,37,Female,F,,,41885892
,37 years,37,Male,M,1999,1999,2283851
,37 years,37,Male,M,2000,2000,2251740
,37 years,37,Male,M,2001,2001,2260101
,37 years,37,Male,M,2002,2002,2229027
,37 years,37,Male,M,2003,2003,2077426
,37 years,37,Male,M,2004,2004,2017065
,37 years,37,Male,M,2005,2005,2016811
,37 years,37,Male,M,2006,2006,2059996
,37 years,37,Male,M,2007,2007,2185701
,37 years,37,Male,M,2008,2008,2131773
,37 years,37,Male,M,2009,2009,2024753
,37 years,37,Male,M,2010,2010,1934291
,37 years,37,Male,M,2011,2011,1907979
,37 years,37,Male,M,2012,2012,1978180
,37 years,37,Male,M,2013,2013,1915689
,37 years,37,Male,M,2014,2014,1974933
,37 years,37,Male,M,2015,2015,2005183
,37 years,37,Male,M,2016,2016,2051368
,37 years,37,Male,M,2017,2017,2200099
,37 years,37,Male,M,2018,2018,2154545
Total,37 years,37,Male,M,,,41660511
Total,37 years,37,,,,,83546403
,38 years,38,Female,F,1999,1999,2276449
,38 years,38,Female,F,2000,2000,2282651
,38 years,38,Female,F,2001,2001,2277958
,38 years,38,Female,F,2002,2002,2280768
,38 years,38,Female,F,2003,2003,2236167
,38 years,38,Female,F,2004,2004,2093890
,38 years,38,Female,F,2005,2005,2041731
,38 years,38,Female,F,2006,2006,2035923
,38 years,38,Female,F,2007,2007,2074052
,38 years,38,Female,F,2008,2008,2192623
,38 years,38,Female,F,2009,2009,2167821
,38 years,38,Female,F,2010,2010,2051989
,38 years,38,Female,F,2011,2011,1965583
,38 years,38,Female,F,2012,2012,1930579
,38 years,38,Female,F,2013,2013,1986478
,38 years,38,Female,F,2014,2014,1933107
,38 years,38,Female,F,2015,2015,1996837
,38 years,38,Female,F,2016,2016,2016438
,38 years,38,Female,F,2017,2017,2058817
,38 years,38,Female,F,2018,2018,2190232
Total,38 years,38,Female,F,,,42090093
,38 years,38,Male,M,1999,1999,2253560
,38 years,38,Male,M,2000,2000,2264584
,38 years,38,Male,M,2001,2001,2251371
,38 years,38,Male,M,2002,2002,2258080
,38 years,38,Male,M,2003,2003,2225884
,38 years,38,Male,M,2004,2004,2080137
,38 years,38,Male,M,2005,2005,2018877
,38 years,38,Male,M,2006,2006,2020763
,38 years,38,Male,M,2007,2007,2062939
,38 years,38,Male,M,2008,2008,2189534
,38 years,38,Male,M,2009,2009,2136185
,38 years,38,Male,M,2010,2010,2027789
,38 years,38,Male,M,2011,2011,1934316
,38 years,38,Male,M,2012,2012,1909739
,38 years,38,Male,M,2013,2013,1979408
,38 years,38,Male,M,2014,2014,1917835
,38 years,38,Male,M,2015,2015,1978349
,38 years,38,Male,M,2016,2016,2007943
,38 years,38,Male,M,2017,2017,2052409
,38 years,38,Male,M,2018,2018,2201174
Total,38 years,38,Male,M,,,41770876
Total,38 years,38,,,,,83860969
,39 years,39,Female,F,1999,1999,2323573
,39 years,39,Female,F,2000,2000,2318241
,39 years,39,Female,F,2001,2001,2288066
,39 years,39,Female,F,2002,2002,2283521
,39 years,39,Female,F,2003,2003,2286069
,39 years,39,Female,F,2004,2004,2242054
,39 years,39,Female,F,2005,2005,2100509
,39 years,39,Female,F,2006,2006,2048846
,39 years,39,Female,F,2007,2007,2042755
,39 years,39,Female,F,2008,2008,2081113
,39 years,39,Female,F,2009,2009,2199617
,39 years,39,Female,F,2010,2010,2175517
,39 years,39,Female,F,2011,2011,2054723
,39 years,39,Female,F,2012,2012,1968682
,39 years,39,Female,F,2013,2013,1933653
,39 years,39,Female,F,2014,2014,1990284
,39 years,39,Female,F,2015,2015,1937724
,39 years,39,Female,F,2016,2016,2001289
,39 years,39,Female,F,2017,2017,2019890
,39 years,39,Female,F,2018,2018,2062635
Total,39 years,39,Female,F,,,42358761
,39 years,39,Male,M,1999,1999,2296996
,39 years,39,Male,M,2000,2000,2286224
,39 years,39,Male,M,2001,2001,2265057
,39 years,39,Male,M,2002,2002,2250872
,39 years,39,Male,M,2003,2003,2256420
,39 years,39,Male,M,2004,2004,2231042
,39 years,39,Male,M,2005,2005,2085045
,39 years,39,Male,M,2006,2006,2026022
,39 years,39,Male,M,2007,2007,2027301
,39 years,39,Male,M,2008,2008,2070660
,39 years,39,Male,M,2009,2009,2197945
,39 years,39,Male,M,2010,2010,2148448
,39 years,39,Male,M,2011,2011,2027628
,39 years,39,Male,M,2012,2012,1935240
,39 years,39,Male,M,2013,2013,1910632
,39 years,39,Male,M,2014,2014,1981213
,39 years,39,Male,M,2015,2015,1920619
,39 years,39,Male,M,2016,2016,1980240
,39 years,39,Male,M,2017,2017,2008416
,39 years,39,Male,M,2018,2018,2053136
Total,39 years,39,Male,M,,,41959156
Total,39 years,39,,,,,84317917
,40 years,40,Female,F,1999,1999,2341168
,40 years,40,Female,F,2000,2000,2354123
,40 years,40,Female,F,2001,2001,2322098
,40 years,40,Female,F,2002,2002,2291233
,40 years,40,Female,F,2003,2003,2285662
,40 years,40,Female,F,2004,2004,2287941
,40 years,40,Female,F,2005,2005,2244129
,40 years,40,Female,F,2006,2006,2102820
,40 years,40,Female,F,2007,2007,2050266
,40 years,40,Female,F,2008,2008,2043855
,40 years,40,Female,F,2009,2009,2081313
,40 years,40,Female,F,2010,2010,2197714
,40 years,40,Female,F,2011,2011,2177380
,40 years,40,Female,F,2012,2012,2056956
,40 years,40,Female,F,2013,2013,1970882
,40 years,40,Female,F,2014,2014,1936462
,40 years,40,Female,F,2015,2015,1993876
,40 years,40,Female,F,2016,2016,1941252
,40 years,40,Female,F,2017,2017,2003755
,40 years,40,Female,F,2018,2018,2022766
Total,40 years,40,Female,F,,,42705651
,40 years,40,Male,M,1999,1999,2326357
,40 years,40,Male,M,2000,2000,2342182
,40 years,40,Male,M,2001,2001,2284503
,40 years,40,Male,M,2002,2002,2260679
,40 years,40,Male,M,2003,2003,2243727
,40 years,40,Male,M,2004,2004,2252988
,40 years,40,Male,M,2005,2005,2226254
,40 years,40,Male,M,2006,2006,2081774
,40 years,40,Male,M,2007,2007,2021075
,40 years,40,Male,M,2008,2008,2021855
,40 years,40,Male,M,2009,2009,2063870
,40 years,40,Male,M,2010,2010,2189231
,40 years,40,Male,M,2011,2011,2146782
,40 years,40,Male,M,2012,2012,2027692
,40 years,40,Male,M,2013,2013,1935245
,40 years,40,Male,M,2014,2014,1911625
,40 years,40,Male,M,2015,2015,1983091
,40 years,40,Male,M,2016,2016,1921928
,40 years,40,Male,M,2017,2017,1980069
,40 years,40,Male,M,2018,2018,2008548
Total,40 years,40,Male,M,,,42229475
Total,40 years,40,,,,,84935126
,41 years,41,Female,F,1999,1999,2250723
,41 years,41,Female,F,2000,2000,2274313
,41 years,41,Female,F,2001,2001,2358452
,41 years,41,Female,F,2002,2002,2326545
,41 years,41,Female,F,2003,2003,2296230
,41 years,41,Female,F,2004,2004,2291770
,41 years,41,Female,F,2005,2005,2295371
,41 years,41,Female,F,2006,2006,2252637
,41 years,41,Female,F,2007,2007,2111306
,41 years,41,Female,F,2008,2008,2058913
,41 years,41,Female,F,2009,2009,2052619
,41 years,41,Female,F,2010,2010,2089344
,41 years,41,Female,F,2011,2011,2198920
,41 years,41,Female,F,2012,2012,2178624
,41 years,41,Female,F,2013,2013,2058505
,41 years,41,Female,F,2014,2014,1972856
,41 years,41,Female,F,2015,2015,1939628
,41 years,41,Female,F,2016,2016,1996945
,41 years,41,Female,F,2017,2017,1943630
,41 years,41,Female,F,2018,2018,2006441
Total,41 years,41,Female,F,,,42953772
,41 years,41,Male,M,1999,1999,2211175
,41 years,41,Male,M,2000,2000,2238985
,41 years,41,Male,M,2001,2001,2342019
,41 years,41,Male,M,2002,2002,2284301
,41 years,41,Male,M,2003,2003,2260614
,41 years,41,Male,M,2004,2004,2248606
,41 years,41,Male,M,2005,2005,2258597
,41 years,41,Male,M,2006,2006,2235552
,41 years,41,Male,M,2007,2007,2090954
,41 years,41,Male,M,2008,2008,2031178
,41 years,41,Male,M,2009,2009,2032646
,41 years,41,Male,M,2010,2010,2073699
,41 years,41,Male,M,2011,2011,2186386
,41 years,41,Male,M,2012,2012,2145819
,41 years,41,Male,M,2013,2013,2027076
,41 years,41,Male,M,2014,2014,1935214
,41 years,41,Male,M,2015,2015,1912805
,41 years,41,Male,M,2016,2016,1983519
,41 years,41,Male,M,2017,2017,1921339
,41 years,41,Male,M,2018,2018,1979715
Total,41 years,41,Male,M,,,42400199
Total,41 years,41,,,,,85353971
,42 years,42,Female,F,1999,1999,2271051
,42 years,42,Female,F,2000,2000,2278710
,42 years,42,Female,F,2001,2001,2276695
,42 years,42,Female,F,2002,2002,2360011
,42 years,42,Female,F,2003,2003,2326876
,42 years,42,Female,F,2004,2004,2296066
,42 years,42,Female,F,2005,2005,2291530
,42 years,42,Female,F,2006,2006,2294736
,42 years,42,Female,F,2007,2007,2251520
,42 years,42,Female,F,2008,2008,2109888
,42 years,42,Female,F,2009,2009,2056603
,42 years,42,Female,F,2010,2010,2050764
,42 years,42,Female,F,2011,2011,2089825
,42 years,42,Female,F,2012,2012,2199514
,42 years,42,Female,F,2013,2013,2179345
,42 years,42,Female,F,2014,2014,2059794
,42 years,42,Female,F,2015,2015,1975181
,42 years,42,Female,F,2016,2016,1941945
,42 years,42,Female,F,2017,2017,1998611
,42 years,42,Female,F,2018,2018,1945641
Total,42 years,42,Female,F,,,43254306
,42 years,42,Male,M,1999,1999,2235880
,42 years,42,Male,M,2000,2000,2243745
,42 years,42,Male,M,2001,2001,2237740
,42 years,42,Male,M,2002,2002,2339185
,42 years,42,Male,M,2003,2003,2279589
,42 years,42,Male,M,2004,2004,2258953
,42 years,42,Male,M,2005,2005,2245748
,42 years,42,Male,M,2006,2006,2257544
,42 years,42,Male,M,2007,2007,2233912
,42 years,42,Male,M,2008,2008,2089575
,42 years,42,Male,M,2009,2009,2029246
,42 years,42,Male,M,2010,2010,2031573
,42 years,42,Male,M,2011,2011,2070786
,42 years,42,Male,M,2012,2012,2184544
,42 years,42,Male,M,2013,2013,2143934
,42 years,42,Male,M,2014,2014,2026315
,42 years,42,Male,M,2015,2015,1935464
,42 years,42,Male,M,2016,2016,1912705
,42 years,42,Male,M,2017,2017,1982205
,42 years,42,Male,M,2018,2018,1920426
Total,42 years,42,Male,M,,,42659069
Total,42 years,42,,,,,85913375
,43 years,43,Female,F,1999,1999,2179527
,43 years,43,Female,F,2000,2000,2263146
,43 years,43,Female,F,2001,2001,2281350
,43 years,43,Female,F,2002,2002,2279943
,43 years,43,Female,F,2003,2003,2363514
,43 years,43,Female,F,2004,2004,2331007
,43 years,43,Female,F,2005,2005,2301346
,43 years,43,Female,F,2006,2006,2297856
,43 years,43,Female,F,2007,2007,2301759
,43 years,43,Female,F,2008,2008,2259139
,43 years,43,Female,F,2009,2009,2117558
,43 years,43,Female,F,2010,2010,2062640
,43 years,43,Female,F,2011,2011,2050730
,43 years,43,Female,F,2012,2012,2090032
,43 years,43,Female,F,2013,2013,2199478
,43 years,43,Female,F,2014,2014,2179679
,43 years,43,Female,F,2015,2015,2060929
,43 years,43,Female,F,2016,2016,1976227
,43 years,43,Female,F,2017,2017,1942408
,43 years,43,Female,F,2018,2018,1999241
Total,43 years,43,Female,F,,,43537509
,43 years,43,Male,M,1999,1999,2118325
,43 years,43,Male,M,2000,2000,2213710
,43 years,43,Male,M,2001,2001,2242083
,43 years,43,Male,M,2002,2002,2235579
,43 years,43,Male,M,2003,2003,2335874
,43 years,43,Male,M,2004,2004,2279113
,43 years,43,Male,M,2005,2005,2258382
,43 years,43,Male,M,2006,2006,2246886
,43 years,43,Male,M,2007,2007,2258746
,43 years,43,Male,M,2008,2008,2236079
,43 years,43,Male,M,2009,2009,2091675
,43 years,43,Male,M,2010,2010,2030765
,43 years,43,Male,M,2011,2011,2028346
,43 years,43,Male,M,2012,2012,2068223
,43 years,43,Male,M,2013,2013,2181430
,43 years,43,Male,M,2014,2014,2141952
,43 years,43,Male,M,2015,2015,2025757
,43 years,43,Male,M,2016,2016,1934366
,43 years,43,Male,M,2017,2017,1910842
,43 years,43,Male,M,2018,2018,1980368
Total,43 years,43,Male,M,,,42818501
Total,43 years,43,,,,,86356010
,44 years,44,Female,F,1999,1999,2152981
,44 years,44,Female,F,2000,2000,2181264
,44 years,44,Female,F,2001,2001,2262324
,44 years,44,Female,F,2002,2002,2278277
,44 years,44,Female,F,2003,2003,2274320
,44 years,44,Female,F,2004,2004,2355630
,44 years,44,Female,F,2005,2005,2321347
,44 years,44,Female,F,2006,2006,2290114
,44 years,44,Female,F,2007,2007,2284312
,44 years,44,Female,F,2008,2008,2286129
,44 years,44,Female,F,2009,2009,2241348
,44 years,44,Female,F,2010,2010,2103715
,44 years,44,Female,F,2011,2011,2062257
,44 years,44,Female,F,2012,2012,2050648
